 #1404 solutions have been found: 
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 3	 SAT2: 3	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 9	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 7	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 10	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 6	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 5	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 4	 SAT7: 6
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 10
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 9
SAT1: 2	 SAT2: 2	 SAT3: 4	 9	 SAT4: 8	 SAT5: 1	 SAT6: 7	 3	 SAT7: 6
